query_number,saved_title,inserted_at,filename,category,recommended_storage,rerun_guidance,reason,characters
12,create-business-card-access-codes.sql,2026-08-01T00:50:10.086951+00:00,012-create-business-card-access-codes-sql-86bc56c7-2368-4b47-89b3-a2a33db6a6c8.sql,OPTIONAL_SEED,"Keep under seeds/examples, not migrations",Do not rerun without intentionally choosing the public codes and limits.,Creates YARDPILOT30 and FOUNDER365 promotional codes.,1075
13,yardpilot-subscriptions-paywall-v1.sql,2026-08-01T00:05:26.884147+00:00,013-yardpilot-subscriptions-paywall-v1-sql-62d29632-a153-4473-8184-7dd548cbafc0.sql,CANONICAL_MIGRATION,Keep in repo,Run once in sequence; not a routine diagnostic.,"Subscriptions, plan features, limits, paywall and access-code schema.",12862
14,13,2026-07-31T19:59:59.783425+00:00,014-13-6cf40b35-6069-443d-9239-1c879b6160ab.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,"Defines get_employee_project_operational_details, which the current frontend calls, but the current repo did not contain its SQL source.",3600
15,12,2026-07-31T10:42:54.27372+00:00,015-12-1919e53c-dd3b-4cac-882f-a8751dfddb65.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,Fixes moderation trigger permissions; required for authenticated estimate writes.,1621
16,11,2026-07-31T10:16:44.536949+00:00,016-11-31107aa5-d67c-40df-8576-e21cc210b838.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,"Adds multi-job estimates, moderation helpers and later public estimate/invoice RPC definitions.",36874
17,10,2026-07-30T05:19:10.850738+00:00,017-10-12150388-e870-45e2-bf91-4c5a581b7670.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually; it intentionally removes internal-cost/profit data.,Current simplified pricing migration.,12099
18,9,2026-07-30T01:11:00.638197+00:00,018-9-f8c39359-c132-46a2-bb14-52a5ac80ce19.sql,INCOMPLETE_SQL,Delete saved snippet after archive,Never run.,Only says UPDATE public.invoices and cannot execute.,23
19,8,2026-07-29T16:04:59.205151+00:00,019-8-2b71aed0-ab0b-4ae9-8d4c-2e9204fbc467.sql,READ_ONLY_DIAGNOSTIC,Optional diagnostic archive,Safe to rerun.,Lists Stripe onboarding status for connected workspaces.,369
20,7,2026-07-29T15:51:33.711188+00:00,020-7-7c9ec204-ca5b-407b-b2c1-4f69e401c311.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,Adds detailed Stripe requirements/status fields used by the newer integration.,3665
21,6,2026-07-29T15:21:48.544537+00:00,021-6-b6ef263f-0fdc-4a46-bfd2-917b298fd989.sql,READ_ONLY_DIAGNOSTIC,Delete or keep as incident note,Safe but tied to one invoice number.,Hard-coded invoice troubleshooting query.,401
22,5,2026-07-29T14:39:09.160261+00:00,022-5-b799d150-ff10-4f01-8ef5-e31a06b29b67.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,Stripe Connect schema/RPC configuration not fully represented by the current canonical repo files.,5985
23,4,2026-07-29T13:48:41.815198+00:00,023-4-efbf64bc-b1f0-42a3-bd67-2726eaca10f5.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,"Usually safe, but preserve as a migration rather than repeatedly running it.",Profile and service-role grants/RLS patch used to fix post-login/profile access.,2277
24,3,2026-07-29T13:30:36.8157+00:00,024-3-10a7bd34-114a-4641-99e6-acb1251147ef.sql,ONE_TIME_DATA_REPAIR,Archive outside baseline migrations,Do not run routinely.,Promotes each recorded workspace creator's existing membership to owner.,2022
25,payments,2026-07-29T11:05:45.275915+00:00,025-payments-9022e0d1-4029-4d08-80d8-e85217b14469.sql,CANONICAL_MIGRATION,Keep in repo,Do not rerun casually.,"Payments, membership controls and invoice workflow; exact current repo file.",35199
26,"YardPilot lifecycle, workgroup, property workflow, and invoice archive update.",2026-07-29T09:34:58.51276+00:00,026-yardpilot-lifecycle-workgroup-property-workflow-and-invoice-archive-update-d982c9a1-b2e7-4c4f-a942-0b8ca2ab2211.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,"Defines workgroups, workspace rate, project deletion and invoice/archive workflow RPCs still called by the app.",17509
27,"YardPilot jobs, invoices, contacts, profile, invite, and photo-policy update",2026-07-29T08:03:30.74284+00:00,027-yardpilot-jobs-invoices-contacts-profile-invite-and-photo-policy-update-1fdf1fcb-f540-42af-99e6-a9e2aa592db5.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,"Defines profile update, invoice view and photo policies still used by the app.",18704
28,yardpilot-polish-workflow.sql,2026-07-29T06:07:24.261265+00:00,028-yardpilot-polish-workflow-sql-427da953-8f3b-45f9-9d96-dee442a54f6e.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,Defines invite acceptance and workflow polish needed by current app.,7786
29,yardpilot-workspace-lifecycle,2026-07-28T20:03:10.240579+00:00,029-yardpilot-workspace-lifecycle-3c503700-434c-425e-aebe-93c6ee72f637.sql,ACTIVE_REQUIRED_SOURCE,Add to repo migration history,Do not rerun casually.,"Defines company workspace, member management, response/view RPCs still called by the app.",26771
30,yardpilot-operations-team,2026-07-28T06:57:35.751486+00:00,030-yardpilot-operations-team-96a9f1c3-22e5-423d-9541-feb7272f8f53.sql,FOUNDATIONAL_MIGRATION,Add to repo migration history,Do not rerun casually.,"Creates workspaces, memberships, invites, assignments, invoices, schedules, follow-ups and job requests.",54012
31,yardpilot-estimates-properties-darkmode,2026-07-28T05:47:52.127996+00:00,031-yardpilot-estimates-properties-darkmode-12e49ed4-7feb-4efb-9732-5e35985e9eec.sql,FOUNDATIONAL_MIGRATION,Add to repo migration history,Do not rerun casually.,Creates properties/property photos and secure public estimate foundations.,15082
32,contacts,2026-07-28T03:59:47.451487+00:00,032-contacts-9d36121a-e1e3-4f0f-95ae-91b59fe66c17.sql,FOUNDATIONAL_MIGRATION,Add to repo migration history,Do not rerun casually.,"Creates and upgrades contacts, which the current frontend directly uses.",4055
33,null one,2026-07-28T03:01:29.024771+00:00,033-null-one-80319b74-df99-4602-b998-b25c1094afbb.sql,SUPERSEDED_PATCH,Archive only,Do not rerun.,Single NOT NULL patch already incorporated by later estimates/properties migration.,73
34,long main,2026-07-28T02:35:41.985513+00:00,034-long-main-fcf2a52b-3daf-43c7-acea-f427fdce1aa1.sql,FOUNDATIONAL_MIGRATION,Add to repo migration history,Do not rerun casually.,More complete original projects/estimates baseline.,2383
35,2,2026-07-28T02:21:27.059465+00:00,035-2-613be78a-a349-45db-b7f0-a4aff19e0cf6.sql,SUPERSEDED_BASELINE,Archive only,Do not use for a new setup.,Earlier projects baseline superseded by #34 and later migrations.,1863
36,1,2026-07-27T23:46:21.35099+00:00,036-1-0e460579-3808-401b-84c4-fb68ae010173.sql,FOUNDATIONAL_MIGRATION,Add to repo migration history,Do not rerun casually.,Original profile/company trigger foundation.,818
